persona,camara,emocion,feature_path
p007,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Miedo_000052.npy
p007,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Neutral_000053.npy
p007,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Sorpresa_000054.npy
p007,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Tristeza_000055.npy
p008,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Asco_000070.npy
p008,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Enojo_000071.npy
p008,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Felicidad_000072.npy
p008,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Miedo_000073.npy
p008,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Neutral_000074.npy
p008,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Sorpresa_000075.npy
p008,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraInfrarroja_Tristeza_000076.npy
p008,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Asco_000063.npy
p008,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Enojo_000064.npy
p008,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Felicidad_000065.npy
p008,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Miedo_000066.npy
p008,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Neutral_000067.npy
p008,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Sorpresa_000068.npy
p008,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p008_camaraWeb_Tristeza_000069.npy
p009,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraInfrarroja_Asco_000083.npy
p009,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraInfrarroja_Enojo_000084.npy
p009,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraInfrarroja_Felicidad_000085.npy
p009,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraInfrarroja_Neutral_000086.npy
p009,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraInfrarroja_Sorpresa_000087.npy
p009,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraInfrarroja_Tristeza_000088.npy
p009,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraWeb_Asco_000077.npy
p009,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraWeb_Enojo_000078.npy
p009,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraWeb_Felicidad_000079.npy
p009,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraWeb_Neutral_000080.npy
p009,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraWeb_Sorpresa_000081.npy
p009,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p009_camaraWeb_Tristeza_000082.npy
p011,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraInfrarroja_Asco_000095.npy
p011,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraInfrarroja_Enojo_000096.npy
p011,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraInfrarroja_Felicidad_000097.npy
p011,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraInfrarroja_Neutral_000098.npy
p011,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraInfrarroja_Sorpresa_000099.npy
p011,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraInfrarroja_Tristeza_000100.npy
p011,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraWeb_Asco_000089.npy
p011,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraWeb_Enojo_000090.npy
p011,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraWeb_Felicidad_000091.npy
p011,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraWeb_Neutral_000092.npy
p011,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraWeb_Sorpresa_000093.npy
p011,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p011_camaraWeb_Tristeza_000094.npy
p014,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraInfrarroja_Asco_000107.npy
p014,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraInfrarroja_Enojo_000108.npy
p014,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraInfrarroja_Felicidad_000109.npy
p014,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraInfrarroja_Neutral_000110.npy
p014,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraInfrarroja_Sorpresa_000111.npy
p014,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraInfrarroja_Tristeza_000112.npy
p014,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraWeb_Asco_000101.npy
p014,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraWeb_Enojo_000102.npy
p014,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraWeb_Felicidad_000103.npy
p014,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraWeb_Neutral_000104.npy
p014,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraWeb_Sorpresa_000105.npy
p014,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p014_camaraWeb_Tristeza_000106.npy
p015,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraInfrarroja_Asco_000119.npy
p015,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraInfrarroja_Enojo_000120.npy
p015,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraInfrarroja_Felicidad_000121.npy
p015,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraInfrarroja_Miedo_000122.npy
p015,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraInfrarroja_Neutral_000123.npy
p015,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraInfrarroja_Tristeza_000124.npy
p015,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraWeb_Asco_000113.npy
p015,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraWeb_Enojo_000114.npy
p015,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraWeb_Felicidad_000115.npy
p015,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraWeb_Miedo_000116.npy
p015,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraWeb_Neutral_000117.npy
p015,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p015_camaraWeb_Tristeza_000118.npy
p016,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraInfrarroja_Asco_000131.npy
p016,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraInfrarroja_Enojo_000132.npy
p016,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraInfrarroja_Felicidad_000133.npy
p016,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraInfrarroja_Neutral_000134.npy
p016,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraInfrarroja_Sorpresa_000135.npy
p016,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraInfrarroja_Tristeza_000136.npy
p016,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraWeb_Asco_000125.npy
p016,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraWeb_Enojo_000126.npy
p016,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraWeb_Felicidad_000127.npy
p016,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraWeb_Neutral_000128.npy
p016,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraWeb_Sorpresa_000129.npy
p016,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p016_camaraWeb_Tristeza_000130.npy
p017,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Asco_000144.npy
p017,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Enojo_000145.npy
p017,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Felicidad_000146.npy
p017,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Miedo_000147.npy
p017,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Neutral_000148.npy
p017,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Sorpresa_000149.npy
p017,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraInfrarroja_Tristeza_000150.npy
p017,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Asco_000137.npy
p017,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Enojo_000138.npy
p017,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Felicidad_000139.npy
p017,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Miedo_000140.npy
p017,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Neutral_000141.npy
p017,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Sorpresa_000142.npy
p017,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p017_camaraWeb_Tristeza_000143.npy
p018,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraInfrarroja_Asco_000157.npy
p018,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraInfrarroja_Enojo_000158.npy
p018,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraInfrarroja_Felicidad_000159.npy
p018,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraInfrarroja_Neutral_000160.npy
p018,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraInfrarroja_Sorpresa_000161.npy
p018,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraInfrarroja_Tristeza_000162.npy
p018,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraWeb_Asco_000151.npy
p018,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraWeb_Enojo_000152.npy
p018,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraWeb_Felicidad_000153.npy
p018,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraWeb_Neutral_000154.npy
p018,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraWeb_Sorpresa_000155.npy
p018,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p018_camaraWeb_Tristeza_000156.npy
p019,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraInfrarroja_Asco_000169.npy
p019,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraInfrarroja_Enojo_000170.npy
p019,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraInfrarroja_Felicidad_000171.npy
p019,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraInfrarroja_Neutral_000172.npy
p019,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraInfrarroja_Sorpresa_000173.npy
p019,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraWeb_Asco_000163.npy
p019,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraWeb_Enojo_000164.npy
p019,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraWeb_Felicidad_000165.npy
p019,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraWeb_Neutral_000166.npy
p019,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraWeb_Sorpresa_000167.npy
p019,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p019_camaraWeb_Tristeza_000168.npy
p020,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraInfrarroja_Enojo_000180.npy
p020,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraInfrarroja_Felicidad_000181.npy
p020,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraInfrarroja_Miedo_000182.npy
p020,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraInfrarroja_Neutral_000183.npy
p020,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraInfrarroja_Tristeza_000184.npy
p020,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraWeb_Enojo_000175.npy
p020,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraWeb_Felicidad_000176.npy
p020,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraWeb_Miedo_000177.npy
p020,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraWeb_Neutral_000178.npy
p020,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p020_camaraWeb_Tristeza_000179.npy
p021,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Asco_000192.npy
p021,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Enojo_000193.npy
p021,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Felicidad_000194.npy
p021,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Miedo_000195.npy
p021,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Neutral_000196.npy
p021,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Sorpresa_000197.npy
p021,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraInfrarroja_Tristeza_000198.npy
p021,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Asco_000185.npy
p021,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Enojo_000186.npy
p021,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Felicidad_000187.npy
p021,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Miedo_000188.npy
p021,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Neutral_000189.npy
p021,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Sorpresa_000190.npy
p021,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p021_camaraWeb_Tristeza_000191.npy
p022,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraInfrarroja_Asco_000203.npy
p022,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraInfrarroja_Enojo_000204.npy
p022,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraInfrarroja_Neutral_000205.npy
p022,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraInfrarroja_Tristeza_000206.npy
p022,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraWeb_Asco_000199.npy
p022,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraWeb_Enojo_000200.npy
p022,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraWeb_Neutral_000201.npy
p022,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p022_camaraWeb_Tristeza_000202.npy
p023,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p023_camaraInfrarroja_Asco_000212.npy
p023,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p023_camaraInfrarroja_Felicidad_000213.npy
p023,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p023_camaraInfrarroja_Neutral_000214.npy
